age,sex,Population_1968,Population_1969,Population_1970,Population_1971,Population_1972,Population_1973,Population_1974,Population_1975,Population_1976,Population_1977,Population_1978,Population_1979,Population_1980,Population_1981,Population_1982,Population_1983,Population_1984,Population_1985,Population_1986,Population_1987,Population_1988,Population_1989,Population_1990,Population_1991,Population_1992,Population_1993,Population_1994,Population_1995,Population_1996,Population_1997,Population_1998,Population_1999,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020,Population_2021,Population_Growth_1968,Population_Growth_1969,Population_Growth_1970,Population_Growth_1971,Population_Growth_1972,Population_Growth_1973,Population_Growth_1974,Population_Growth_1975,Population_Growth_1976,Population_Growth_1977,Population_Growth_1978,Population_Growth_1979,Population_Growth_1980,Population_Growth_1981,Population_Growth_1982,Population_Growth_1983,Population_Growth_1984,Population_Growth_1985,Population_Growth_1986,Population_Growth_1987,Population_Growth_1988,Population_Growth_1989,Population_Growth_1990,Population_Growth_1991,Population_Growth_1992,Population_Growth_1993,Population_Growth_1994,Population_Growth_1995,Population_Growth_1996,Population_Growth_1997,Population_Growth_1998,Population_Growth_1999,Population_Growth_2000,Population_Growth_2001,Population_Growth_2002,Population_Growth_2003,Population_Growth_2004,Population_Growth_2005,Population_Growth_2006,Population_Growth_2007,Population_Growth_2008,Population_Growth_2009,Population_Growth_2010,Population_Growth_2011,Population_Growth_2012,Population_Growth_2013,Population_Growth_2014,Population_Growth_2015,Population_Growth_2016,Population_Growth_2017,Population_Growth_2018,Population_Growth_2019,Population_Growth_2020,Population_Growth_2021
45-54_years,men,528972,526560,525606,521308,514841,509992,503641,488235,475522,467004,457180,449340,443411,440725,440791,442543,448216,452819,460644,475912,498200,524846,550204,573997,594775,612734,626940,638261,644082,643690,639101,628764,619392,611456,603920,596878,592162,588676,590120,593369,599151,611522,622601,632530,642839,650553,656361,663571,673138,680394,682877,682372,677490,671402,..,-2412,-954,-4298,-6467,-4849,-6351,-15406,-12713,-8518,-9824,-7840,-5929,-2686,66,1752,5673,4603,7825,15268,22288,26646,25358,23793,20778,17959,14206,11321,5821,-392,-4589,-10337,-9372,-7936,-7536,-7042,-4716,-3486,1444,3249,5782,12371,11079,9929,10309,7714,5808,7210,9567,7256,2483,-505,-4882,-6088
45-54_years,women,525931,523970,523109,519999,514370,510677,505788,491182,479090,470642,460912,452629,445541,442103,440893,440622,444313,446027,451563,463597,483322,506349,529980,552244,572559,590886,605729,617769,624511,625898,622464,614090,606156,597831,590990,583212,577862,574995,575620,578061,583118,594760,604659,614383,623359,631151,636427,643317,652537,659583,663311,662475,658309,652437,..,-1961,-861,-3110,-5629,-3693,-4889,-14606,-12092,-8448,-9730,-8283,-7088,-3438,-1210,-271,3691,1714,5536,12034,19725,23027,23631,22264,20315,18327,14843,12040,6742,1387,-3434,-8374,-7934,-8325,-6841,-7778,-5350,-2867,625,2441,5057,11642,9899,9724,8976,7792,5276,6890,9220,7046,3728,-836,-4166,-5872
55-64_years,men,479923,484469,486620,486666,485572,482607,478514,484888,487435,485407,483483,480473,478374,474405,469106,465190,459663,446022,435212,428088,419761,413579,409189,407777,408837,411977,419151,424941,433309,448137,469386,494490,518926,542153,562845,580543,593774,604893,611363,612114,609189,601136,592791,586172,580068,574669,571928,570881,573974,578195,585431,598199,610120,621250,..,4546,2151,46,-1094,-2965,-4093,6374,2547,-2028,-1924,-3010,-2099,-3969,-5299,-3916,-5527,-13641,-10810,-7124,-8327,-6182,-4390,-1412,1060,3140,7174,5790,8368,14828,21249,25104,24436,23227,20692,17698,13231,11119,6470,751,-2925,-8053,-8345,-6619,-6104,-5399,-2741,-1047,3093,4221,7236,12768,11921,11130
55-64_years,women,495113,499393,500510,500298,499466,496823,492798,500519,504359,503768,502785,500474,499127,496298,491812,489004,484562,471039,459844,451931,443138,436014,429914,427194,426491,427264,432385,434971,440813,452138,470654,492241,514732,536321,556456,573959,587396,598871,606343,608851,606576,599673,592793,585686,579685,573261,569342,567960,569866,573126,578602,590299,600779,611197,..,4280,1117,-212,-832,-2643,-4025,7721,3840,-591,-983,-2311,-1347,-2829,-4486,-2808,-4442,-13523,-11195,-7913,-8793,-7124,-6100,-2720,-703,773,5121,2586,5842,11325,18516,21587,22491,21589,20135,17503,13437,11475,7472,2508,-2275,-6903,-6880,-7107,-6001,-6424,-3919,-1382,1906,3260,5476,11697,10480,10418
65-74_years,men,314606,321149,327356,334052,340860,348242,356639,363041,367888,373186,377745,380843,382190,382163,381967,380584,378543,384852,388239,387931,387541,386892,386687,384666,381516,379620,376811,368232,361229,356758,350874,346841,345105,345797,348646,352857,360190,366707,375882,391360,411783,436040,459389,481361,500929,517791,530770,541372,547347,548874,546994,540500,533443,528484,..,6543,6207,6696,6808,7382,8397,6402,4847,5298,4559,3098,1347,-27,-196,-1383,-2041,6309,3387,-308,-390,-649,-205,-2021,-3150,-1896,-2809,-8579,-7003,-4471,-5884,-4033,-1736,692,2849,4211,7333,6517,9175,15478,20423,24257,23349,21972,19568,16862,12979,10602,5975,1527,-1880,-6494,-7057,-4959
65-74_years,women,366511,373901,381962,390299,398405,406686,415501,421245,426514,432254,437408,441678,443097,443438,443516,442069,439582,447481,451915,452123,451668,450989,450645,448843,445270,443317,440491,430349,421139,414451,406781,400345,395229,392911,392357,393217,397251,399569,405466,416960,435150,456291,477911,498534,517595,534395,547625,558728,565830,568002,565965,559963,553908,547852,..,7390,8061,8337,8106,8281,8815,5744,5269,5740,5154,4270,1419,341,78,-1447,-2487,7899,4434,208,-455,-679,-344,-1802,-3573,-1953,-2826,-10142,-9210,-6688,-7670,-6436,-5116,-2318,-554,860,4034,2318,5897,11494,18190,21141,21620,20623,19061,16800,13230,11103,7102,2172,-2037,-6002,-6055,-6056
75-84_years,men,136422,138275,141749,144835,147228,150662,153516,157052,160647,164994,168430,172052,175586,179750,184761,189820,195701,200322,204410,208632,212221,215879,217544,219062,220588,220975,222032,228992,234000,236311,238615,239759,241551,242246,241843,242024,241830,239029,237148,237010,235485,235457,236750,239727,244218,250107,258137,265464,274685,288698,306143,326831,345189,363160,..,1853,3474,3086,2393,3434,2854,3536,3595,4347,3436,3622,3534,4164,5011,5059,5881,4621,4088,4222,3589,3658,1665,1518,1526,387,1057,6960,5008,2311,2304,1144,1792,695,-403,181,-194,-2801,-1881,-138,-1525,-28,1293,2977,4491,5889,8030,7327,9221,14013,17445,20688,18358,17971
75-84_years,women,183527,188462,194661,200628,205768,212651,219061,226135,232849,240720,247117,254175,260934,268307,276583,284844,293333,299051,304730,310547,315190,319927,322225,323892,325644,325399,325799,334354,340271,342102,343318,343631,344031,343383,341079,340411,338409,332130,326498,322791,318154,314813,311979,311719,312573,314885,319868,323192,329131,340023,356003,374817,392856,410647,..,4935,6199,5967,5140,6883,6410,7074,6714,7871,6397,7058,6759,7373,8276,8261,8489,5718,5679,5817,4643,4737,2298,1667,1752,-245,400,8555,5917,1831,1216,313,400,-648,-2304,-668,-2002,-6279,-5632,-3707,-4637,-3341,-2834,-260,854,2312,4983,3324,5939,10892,15980,18814,18039,17791
85-94_years,men,23753,24616,25785,26877,27718,28327,28626,29054,29503,30074,30795,31364,31976,33013,34006,34995,36099,37135,38523,39872,40744,42535,43881,45557,47388,48830,51647,53664,55304,57031,58503,59821,60699,61894,62815,64088,65680,69779,73062,74899,77160,78598,80102,81219,81365,82612,83515,84282,85310,86376,87122,88729,89385,92520,..,863,1169,1092,841,609,299,428,449,571,721,569,612,1037,993,989,1104,1036,1388,1349,872,1791,1346,1676,1831,1442,2817,2017,1640,1727,1472,1318,878,1195,921,1273,1592,4099,3283,1837,2261,1438,1504,1117,146,1247,903,767,1028,1066,746,1607,656,3135
85-94_years,women,35227,37213,39609,42199,44561,46782,48893,51194,53381,55998,58737,61281,64091,66535,69415,72692,76065,79753,83439,87743,90741,94764,98289,102419,106523,110174,115129,118839,122030,125904,128985,131080,132729,133622,134401,135565,137067,143609,148373,149831,151319,153048,154284,154856,154046,154658,154490,153839,152999,152509,151428,151544,150365,152549,..,1986,2396,2590,2362,2221,2111,2301,2187,2617,2739,2544,2810,2444,2880,3277,3373,3688,3686,4304,2998,4023,3525,4130,4104,3651,4955,3710,3191,3874,3081,2095,1649,893,779,1164,1502,6542,4764,1458,1488,1729,1236,572,-810,612,-168,-651,-840,-490,-1081,116,-1179,2184
95+_years,men,588,665,728,802,834,903,962,973,947,972,1041,1124,1177,1255,1270,1256,1321,1341,1387,1439,1470,1546,1572,1668,1707,1717,1761,1847,1918,2008,2156,2241,2277,2372,2494,2582,2819,2988,3127,3248,3407,3513,3537,3722,3846,3997,4262,4781,5103,5142,5356,5580,5546,5675,..,77,63,74,32,69,59,11,-26,25,69,83,53,78,15,-14,65,20,46,52,31,76,26,96,39,10,44,86,71,90,148,85,36,95,122,88,237,169,139,121,159,106,24,185,124,151,265,519,322,39,214,224,-34,129
95+_years,women,1188,1291,1381,1563,1594,1729,1945,2091,2125,2335,2593,2866,3048,3242,3573,3733,3971,4176,4466,4723,4874,5088,5353,5640,5901,6085,6445,7055,7405,7809,8424,8837,9266,9839,10160,10510,11089,11566,11881,12314,12623,13017,13294,13530,13711,13762,14217,15569,16452,16522,16700,17403,17394,17879,..,103,90,182,31,135,216,146,34,210,258,273,182,194,331,160,238,205,290,257,151,214,265,287,261,184,360,610,350,404,615,413,429,573,321,350,579,477,315,433,309,394,277,236,181,51,455,1352,883,70,178,703,-9,485
